Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Product,Category,Sub-Category,Sales,Quantity,Discount,Profit,City,State,Region
1,US-2022-101907,2022-12-03,2022-12-07,First Class,Jessica Thomas,Corporate,Bookcases Item 310,Furniture,Bookcases,1102.2,5,0.3,-63.05,Worcester,Massachusetts,East
2,US-2023-101746,2023-11-28,2023-12-05,Same Day,James Lee,Consumer,Labels Item 476,Office Supplies,Labels,11.85,3,0.0,3.22,Nashville,Tennessee,South
3,US-2024-102318,2024-02-10,2024-02-17,First Class,Jennifer Torres,Home Office,Paper Item 257,Office Supplies,Paper,43.32,6,0.3,0.45,Detroit,Michigan,Central
4,US-2023-102115,2023-02-02,2023-02-08,Same Day,Aiden Thomas,Corporate,Furnishings Item 411,Furniture,Furnishings,381.66,3,0.0,71.75,Miami,Florida,South
5,US-2022-101754,2022-09-03,2022-09-07,Standard Class,Richard Brown,Corporate,Tables Item 299,Furniture,Tables,878.71,1,0.0,213.53,Atlanta,Georgia,South
6,US-2024-101950,2024-02-23,2024-02-28,Second Class,Patricia Smith,Consumer,Labels Item 505,Office Supplies,Labels,43.29,3,0.3,-0.48,Buffalo,New York,East
7,US-2024-101733,2024-03-05,2024-03-12,Second Class,Elizabeth Singh,Home Office,Printers Item 928,Technology,Printers,1386.16,8,0.0,403.41,Raleigh,North Carolina,South
8,US-2024-100077,2024-03-31,2024-04-01,Second Class,Amara Garcia,Home Office,Storage Item 395,Office Supplies,Storage,292.67,7,0.1,40.36,Las Vegas,Nevada,West
9,US-2022-101688,2022-05-05,2022-05-09,Standard Class,Jennifer Singh,Corporate,Storage Item 575,Office Supplies,Storage,1326.08,8,0.3,-32.35,Portland,Oregon,West
10,US-2022-100846,2022-03-14,2022-03-20,Standard Class,Mary Walker,Consumer,Bookcases Item 700,Furniture,Bookcases,753.6,4,0.3,-59.9,Portland,Oregon,West
11,US-2024-102184,2024-02-06,2024-02-10,Second Class,John Kim,Consumer,Printers Item 343,Technology,Printers,729.9,6,0.3,-66.88,Cleveland,Ohio,Central
